simulation,total_floors,capacity,total_requests,lor,visited_floors
1,10,4,26,"[0.0, 0.25, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 1.0, 0.5, 1.0, 1.0, 1.0, 0.75, 1.0, 1.0, 0.75, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.5, 0.5, 0.0, 0.0, 0.0, 0.5, 0.75, 0.75, 1.0, 1.0, 1.0, 0.5, 0.5, 0.75, 0.75, 0.75, 0.75, 0.5, 0.25]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
2,10,8,26,"[0.0, 0.125, 0.375, 0.5, 0.625, 1.0, 1.0, 1.0, 1.0, 0.875, 1.0, 1.0, 1.0, 0.875, 0.875, 0.75, 0.5, 0.375, 0.5, 0.375, 0.375, 0.25, 0.25, 0.25, 0.25, 0.5, 0.875, 0.375, 0.375, 0.375, 0.375, 0.375, 0.25, 0.125, 0.125, 0.125]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
3,10,12,26,"[0.0, 0.16666666666666666, 0.4166666666666667, 0.5, 0.5833333333333334, 0.6666666666666666, 0.8333333333333334, 1.0, 0.8333333333333334, 0.9166666666666666, 0.9166666666666666, 0.9166666666666666, 0.75, 0.5833333333333334, 0.5, 0.5, 0.3333333333333333, 0.16666666666666666, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.3333333333333333, 0.25, 0.16666666666666666, 0.08333333333333333, 0.08333333333333333]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
4,10,16,26,"[0.0, 0.1875, 0.5625, 0.8125, 0.875, 0.75, 0.625, 0.6875, 0.5625, 0.5625, 0.5625, 0.5, 0.5, 0.5, 0.4375, 0.3125, 0.1875, 0.0625, 0.1875, 0.1875, 0.1875, 0.125, 0.125, 0.0625, 0.0625, 0.0625, 0.0625]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
5,10,20,26,"[0.0, 0.25, 0.3, 0.35, 0.45, 0.45, 0.55, 0.7, 0.75, 0.7, 0.7, 0.7, 0.7, 0.6, 0.5, 0.35, 0.25, 0.25, 0.1, 0.1, 0.1, 0.1, 0.05, 0.05, 0.05, 0.05]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
