simulation,total_floors,capacity,total_requests,lor,visited_floors
1,10,20,10,"[0.0, 0.0, 0.05, 0.1, 0.1, 0.2, 0.25, 0.25, 0.2, 0.2, 0.15, 0.15, 0.15, 0.1, 0.1, 0.05, 0.05, 0.0, 0.15, 0.15, 0.15, 0.15, 0.1, 0.1, 0.1, 0.1, 0.05]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
2,10,20,20,"[0.0, 0.15, 0.2, 0.2, 0.25, 0.6, 0.5, 0.55, 0.5, 0.4, 0.4, 0.4, 0.4, 0.4, 0.3, 0.3, 0.2, 0.2, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05, 0.05]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
3,10,20,30,"[0.0, 0.25, 0.45, 0.45, 0.45, 0.45, 0.4, 0.45, 0.35, 0.6, 0.6, 0.55, 0.55, 0.4, 0.35, 0.2, 0.1, 0.1, 0.35, 0.25, 0.25, 0.25, 0.25, 0.25, 0.2, 0.2, 0.05]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
4,10,20,40,"[0.0, 0.2, 0.25, 0.45, 0.75, 0.7, 0.9, 1.0, 1.0, 1.0, 1.0, 1.0, 0.95, 0.8, 0.6, 0.6, 0.45, 0.2, 0.25, 0.25, 0.25, 0.2, 0.15, 0.1, 0.1, 0.1, 0.05, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.05]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
5,10,20,50,"[0.0, 0.1, 0.35, 0.5, 0.5, 0.75, 0.85, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9, 0.8, 0.5, 0.2, 0.3, 0.25, 0.25, 0.25, 0.2, 0.2, 0.1, 0.05, 0.3, 0.4, 0.4, 0.35, 0.35, 0.35, 0.3, 0.25, 0.1]","[2, 3, 4, 5, 6, 7, 8, 9, 10, 1]"
