Simulation,Total Floors,Capacity,Total Requests,Moves
1,10,14,30,35
2,10,10,30,34
3,10,12,30,33
4,10,2,30,87
5,10,8,30,42
6,10,5,30,55
7,10,8,30,39
8,10,7,30,33
9,10,13,30,27
10,10,3,30,88
11,10,13,30,27
12,10,15,30,29
13,10,4,30,76
14,10,5,30,48
15,10,10,30,36
16,10,10,30,35
17,10,10,30,35
18,10,2,30,92
19,10,4,30,71
20,10,10,30,32
21,10,12,30,32
22,10,13,30,27
23,10,10,30,36
24,10,6,30,65
25,10,2,30,105
26,10,6,30,44
27,10,14,30,21
28,10,3,30,78
29,10,5,30,67
30,10,7,30,44
